Dealership Name,Dealership Number,ESHOP Price Match,New SRP CTA,New SRP CTA Top,New VDP CTA,New  VDP CTA Top,No E-Shop Found,CTA,CPOV CTA,CPOV CTA Top,COLP,Used SRP CTA,Used SRP CTA Top,Website Provider,Trade-In Provider,Tag,Competitive Dr Tool,Dealer Group,Syndication Provider,Base URL,Primary Email,Billing Code
Rairdon's Alfa Romeo And FIAT of Kirkland,69047,No,TRUE,TRUE,TRUE,TRUE,"Oct 10, 2025",Payment Options,FALSE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,,Missing Credit App Data,,,,https://www.alfaromeousaofkirkland.com/,test@test.com,98903
Rogers Chrysler Jeep Dodge Ram,60682,No,TRUE,TRUE,TRUE,TRUE,,Payment Options,TRUE,TRUE,TRUE,TRUE,TRUE,Dealer eProcess,Black Book,,,,,https://www.rogersdodge.com,test@test.com,84721
Ron Tonkin Alfa Romeo,69344,No,TRUE,FALSE,FALSE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,,,,,,https://www.rontonkinalfaromeo.com/,test@test.com,89701
Salt Lake Valley Chrysler Dodge Jeep Ram,60600,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,KBB,,,,vAuto,https://www.saltlakevalleychryslerdodgeramjeep.com,test@test.com,83501
Santa Cruz Chrysler Dodge Jeep Ram,42062,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,TRUE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.santacruzcdjr.com,test@test.com,84032
Scott Robinson Chrysler Dodge Jeep Ram,60557,No,TRUE,FALSE,TRUE,TRUE,,Payment Options,TRUE,FALSE,TRUE,TRUE,TRUE,Dealer Inspire,Black Book,,Captial One,,,https://www.scottrobinsonchryslerdodgejeepram.net,test@test.com,83647
Stevens Creek Chrysler Jeep Dodge,45358,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.stevenscreekchryslerjeepdodge.net,test@test.com,93105
Stockton Dodge Chrysler Jeep Ram,59548,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.stocktondodgecorporation.com,test@test.com,95062
Stoneridge Chrysler Jeep Dodge of Dublin,60385,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.stoneridgechryslerjeepdodgeofdublin.com,test@test.com,87402
Sunnyvale Chrysler Dodge Jeep Ram,27146,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,http://sunnyvalecdjr.com/,test@test.com,83301
Swanty's Chrysler Dodge Jeep,68146,Yes,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.swantyschryslerdodgejeep.com,test@test.com,98133
Tate Branch Autoplex,45525,No,TRUE,TRUE,TRUE,FALSE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.tatebranchchryslerdodgejeepram.com,test@test.com,92807
Tate Branch Dodge Chrysler Jeep,60370,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,Missing Credit App Data,,,,https://www.tatebranchdodgechryslerjeep.com,test@test.com,97267
Tate Branch Dodge Chrysler Jeep,45326,No,TRUE,TRUE,TRUE,TRUE,,Custom,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,Missing Credit App Data,,,,https://www.tatebranchdodgechryslerjeep.com,test@test.com,98034
Towbin Dodge,45814,No,TRUE,TRUE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,KBB,National Dealer Council,Captial One,,,https://www.towbindodge.net,test@test.com,94551
Towbin FIAT Alfa Romeo,69066,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,,"National Dealer Council,EDPA Issue",,,,https://www.alfaromeousaoflasvegas.com/,test@test.com,84111
Town Chrysler Jeep Dodge Ram,60403,No,TRUE,TRUE,TRUE,TRUE,,Custom,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer eProcess,Black Book,,,,,https://www.townchryslerdodge.net,test@test.com,90241
"Twin Rivers Chrysler-Jeep-Dodge, Inc",62590,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,TRUE,FALSE,FALSE,TRUE,FALSE,Dealer On,Black Book,,,,,https://www.twinriverschryslerjeepdodge.com,test@test.com,91748
Vallejo Chrysler Dodge Jeep Ram,27401,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer Inspire,,Missing Credit App Data,Captial One,,,https://www.vallejochryslerdodgejeepram.com/,test@test.com,92111
Walnut Creek CDJR,26553,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.walnutcreekcjdr.com,test@test.com,87109
Watertown Chrysler,44996,No,TRUE,FALSE,FALSE,FALSE,,Payment Options,TRUE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.watertownchrysler.com,test@test.com,68117
Watsonville Chrysler Dodge Jeep Ram,27174,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,FALSE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.watsonvillecdjr.com,test@test.com,98122
Wm. Krotter Co.,45761,No,TRUE,FALSE,TRUE,FALSE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer Inspire,Black Book,,,,,https://www.krotterauto.com,test@test.com,89146
Yakima Chrysler Dodge Jeep Ram FIAT,26841,No,TRUE,FALSE,TRUE,TRUE,,Payment Options,FALSE,FALSE,TRUE,TRUE,FALSE,Dealer.com,Black Book,,,,,https://www.yakimacdjr.com,test@test.com,85260
Don K Chrysler Dodge Jeep Ram,45520,No,FALSE,FALSE,FALSE,FALSE,,Payment Options,FALSE,FALSE,FALSE,FALSE,FALSE,Dealer.com,Black Book,Revert: 3 Months Free,,,,https://www.donkchryslerdodgejeepram.com,test@test.com,96720
